prefectures,count,location
東京都,995,"(34.6968642, 139.4049033)"
神奈川県,310,"(35.4342935, 139.374753)"
北海道,93,"(43.4519831, 142.8197834)"
千葉県,82,"(35.3594614, 140.189299948902)"
埼玉県,70,"(35.9754168, 139.4160114)"
大阪府,44,"(34.6198813, 135.490357)"
静岡県,36,"(34.8566552, 138.4855544)"
京都府,33,"(35.242552, 135.454601)"
福岡県,30,"(33.6251241, 130.6180016)"
秋田県,30,"(39.6898802, 140.342608)"
兵庫県,29,"(34.914934, 134.860666)"
愛知県,28,"(34.9991645, 137.254574)"
宮城県,24,"(38.3880155, 140.9761025)"
新潟県,23,"(37.6452283, 138.7669125)"
長野県,21,"(36.1143945, 138.0319015)"
神奈川,17,"(35.4710257, 139.6271352)"
群馬県,14,"(36.52198, 139.033483)"
青森県,12,"(40.886943, 140.590121)"
東京,12,"(35.6828387, 139.7594549)"
山形県,12,"(38.4746705, 140.083237)"
岡山県,12,"(35.0030052, 133.7037385)"
茨城県,12,"(36.3420485, 140.398432594098)"
山口県,11,"(34.2379614, 131.5873845)"
沖縄県,11,"(26.5707754, 128.0255901)"
広島県,10,"(34.5666725, 132.753565)"
福島県,9,"(37.3665245, 140.263387765134)"
岩手県,9,"(39.5713763, 141.4253574)"
山梨県,9,"(35.6399328, 138.6380495)"
栃木県,8,"(36.6773965, 139.779485315613)"
奈良県,6,"(34.2963089, 135.8816819)"
三重県,6,"(34.7339685, 136.5154489)"
鹿児島県,6,"(31.521587, 130.5474077)"
滋賀県,6,"(35.247154, 136.109385)"
宮崎県,5,"(32.097681, 131.294542)"
熊本県,5,"(32.6450475, 130.6341345)"
石川県,5,"(36.9888678, 136.8163563)"
長崎県,5,"(33.1154683, 129.7874339)"
香川県,5,"(34.288472, 133.947083)"
岐阜県,4,"(35.7867449, 137.0460777)"
高知県,4,"(33.6569018, 133.5606241)"
福井県,3,"(35.9263502, 136.6068127)"
富山県,3,"(36.6468015, 137.2183531)"
スペイン,3,"(40.0028028, -4.003104)"
和歌山県,3,"(33.8070292, 135.5930743)"
島根県,2,"(34.9418212, 132.537439)"
徳島県,2,"(33.9196418, 134.2509634)"
イギリス,2,"(54.7023545, -3.2765753)"
台湾,2,"(23.59829785, 120.835363138175)"
鳥取県,2,"(35.3555075, 133.8678525)"
愛媛県,2,"(33.6013646, 132.8185275)"
西表島,1,"(24.3343649, 123.8285829)"
ポルトガル,1,"(40.033265, -7.8896263)"
イタリア,1,"(42.6384261, 12.674297)"
大分県,1,"(33.1819875, 131.4270217)"
千葉,1,"(35.609985, 140.118126)"
鹿児島,1,"(31.572494, 130.527873)"
ブラジル,1,"(-10.3333333, -53.2)"
京都,1,"(35.0231321, 135.7634074)"
フランス,1,"(46.603354, 1.8883335)"
新潟,1,"(37.908662, 139.037713)"
福岡,1,"(33.586154, 130.394466)"
アメリカ,1,"(39.7837304, -100.4458825)"
中国、上海,1,"(31.2253441, 121.4888922)"
愛知,1,"(35.1968074, 136.864835232295)"
ドミニカ共和国,1,"(19.0974031, -70.3028026)"
埼玉,1,"(36.1180797, 139.4896045)"
ロサンゼルス,1,"(34.054935, -118.244476)"
中国・北京,1,"(39.9059631, 116.391248)"
秋田,1,"(39.718854, 140.101929)"
佐賀県,1,"(33.2185408, 130.1296585)"
北欧,1,"(35.7881611, 139.612475)"
兵庫,1,"(34.6677915, 135.1641816)"
福島,1,"(37.759246, 140.473135)"
長野,1,"(36.643991, 138.099959)"
